algorithm,task,seed,evaluation_seed,episode,robot,success,episode_reward,episode_length,final_distance,control_distance,collision_count,collision_rate,action_smoothness,terminated,truncated,inference_seconds,mean_inference_ms,source_file,environment_steps
diffusion,push_button,0,10000.0,27,panda,1.0,13.422855091854936,96.0,0.0301937405019998,0.0301937405019998,0.0,0.0,0.0052723258504987,True,False,2.803106328472495,29.199024254921824,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,28,panda,1.0,13.849468985915191,123.0,0.0241080671548843,0.0241080671548843,0.0,0.0,0.0042187765092972,True,False,3.6098081367090336,29.34803363178077,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,29,panda,0.0,1.8062656700611293,200.0,0.3238175213336944,0.3241288750171661,101.0,0.505,0.0034762946297952,False,True,5.837219599634409,29.186097998172045,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,30,panda,0.0,-0.0166903853416282,200.0,0.7391438484191895,0.739454963684082,46.0,0.23,0.0050971304743048,False,True,5.843187150545418,29.21593575272709,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,31,panda,0.0,3.539976733922976,200.0,0.0753651559352874,0.0756762115955352,87.0,0.435,0.0025550071996345,False,True,5.821061806753278,29.10530903376639,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,32,panda,1.0,13.624893341898924,91.0,0.0264510065317153,0.0264510065317153,0.0,0.0,0.0066893247269465,True,False,2.6725827706977725,29.369041436239257,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,33,panda,1.0,13.456550827890638,68.0,0.0198555700480937,0.0198555700480937,0.0,0.0,0.0073527808079441,True,False,1.9922709176316855,29.29810172987773,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,34,panda,1.0,13.879993245720875,148.0,0.0307805985212326,0.0307805985212326,0.0,0.0,0.0034730768466764,True,False,4.321985836140811,29.202607000951428,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,35,panda,1.0,13.741843730628496,78.0,0.0396415367722511,0.0396415367722511,0.0,0.0,0.0064102121002545,True,False,2.3394128754734997,29.99247276248076,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,36,panda,0.0,2.0135314345359987,200.0,0.3080424666404724,0.3083537011146545,110.0,0.55,0.0024692642892453,False,True,5.844721099361777,29.223605496808887,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,37,panda,1.0,13.287897323071965,80.0,0.0414771512150764,0.0414771512150764,0.0,0.0,0.0062295688049482,True,False,2.337142584845424,29.2142823105678,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,38,panda,1.0,13.538591863065964,95.0,0.0354213826358318,0.0354213826358318,0.0,0.0,0.00746183863114,True,False,2.793761722743511,29.408018134142225,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,39,panda,1.0,13.573211703866724,78.0,0.0271370895206928,0.0271370895206928,0.0,0.0,0.0063377085692025,True,False,2.3264573803171515,29.826376670732717,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
